adress,Latitude,Longitude
"Кропивницький,алея між вулицями Волкова та Бєляєва",48.50793300000001,32.262317
"Кропивницький,вздовж річки Інгул, від вул. Київської до вул. Жовтневої революції",48.50793300000001,32.262317
"Кропивницький,від буд. № 8 до буд. 14 по вул. Героїв Сталінграда",48.50793300000001,32.262317
"Кропивницький,вїзд з м. Знамянка",48.7192002,32.6770961
"Кропивницький,вїзд з м. Знамянка",48.7192002,32.6770961
"Кропивницький,вїзд з м. Кривий Ріг",48.50793300000001,32.262317
"Кропивницький,вїзд з м. Кривий Ріг",48.50793300000001,32.262317
"Кропивницький,вуд. Яновського, 50",48.4935325,32.2556826
"Кропивницький,вул Соборна, 24-а",48.5018131,32.246611
"Кропивницький,вул.  Дружби народів, 8",48.50793300000001,32.262317
"Кропивницький,вул.  Тимірязєва, 58",48.5099147,32.263272
"Кропивницький,вул. 20 років Міліції, 2-а",48.50793300000001,32.262317
"Кропивницький,вул. 20 років Міліції, 26",48.50793300000001,32.262317
"Кропивницький,вул. 20 років Міліції, 56",48.50793300000001,32.262317
"Кропивницький,вул. 40 річчя Перемоги, 11",48.49061,32.2706019
"Кропивницький,вул. 40-річчя Перемоги  (від кафе ""Альфа "" до мосту)",48.50793300000001,32.262317
"Кропивницький,вул. 40-річчя Перемоги ,51",48.48775,32.269879
"Кропивницький,вул. 40-річчя Перемоги, 105",48.4820909,32.2706043
"Кропивницький,вул. 40-річчя Перемоги, 107",48.4813813,32.2710636
"Кропивницький,вул. 40-річчя Перемоги, 108-а",48.4759298,32.2718872
"Кропивницький,вул. 40-річчя Перемоги, 146",48.4728056,32.2703489
"Кропивницький,вул. 40-річчя Перемоги, 24",48.4888157,32.2694561
"Кропивницький,вул. 40-річчя Перемоги, 26/33",48.4886904,32.2695409
"Кропивницький,вул. 40-річчя Перемоги, 27-13",48.489693,32.271696
"Кропивницький,вул. 40-річчя Перемоги, 32",48.4873182,32.2694412
"Кропивницький,вул. 40-річчя Перемоги, 4/1",48.4911705,32.2698202
"Кропивницький,вул. 40-річчя Перемоги, 41/35",48.4886601,32.2705053
"Кропивницький,вул. 40-річчя Перемоги, 53-45",48.488202,32.270581
"Кропивницький,вул. 40-річчя Перемоги, 58/49",48.48425599999999,32.269246
"Кропивницький,вул. 40-річчя Перемоги, 62",48.4840622,32.2695312
"Кропивницький,вул. 40-річчя Перемоги, 63/45",48.486888,32.270435
