order_number,tree_adress,Latitude,Longitude,tree_characteristics,number,was_cut,branch_left,tree_adress_shorten,date_UTF
№ 311/03-01-06 від 14.02.18,"Кропивницький, вул. Олексія Єгорова, 32",48.5127798,32.2752475,тополя пухова - 1 од.,1,0,1,"вул. Олексія Єгорова, 32",14.02.18
№ 590-П від 15.02.18,"Кропивницький, вул. Київська, 85",48.50793300000001,32.262317,клен - 2 од.,2,0,2,"вул. Київська, 85",15.02.18
№ 665-М від 16.02.18,"Кропивницький, вул. Велика Пермська, 82",48.50793300000001,32.262317,акація - 1 од.,1,0,1,"вул. Велика Пермська, 82",16.02.18
№ 416/03-01-06 від 27.02.18,"Кропивницький, просп. Промисловий, 25",48.5188128,32.1967212,горіх - 3 од.,3,0,3,"просп. Промисловий, 25",27.02.18
№ 673/03-01-06 від 05.03.18,"Кропивницький, вул. Андріївська, 12",48.51115120000001,32.2504979,шовковиця - 1 од.,1,0,1,"вул. Андріївська, 12",05.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5007946,32.2125225,горіх - 12 од.,12,12,0,"вул. Юрія Коваленка, 7",07.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5007946,32.2125225,липа - 5 од.,5,5,0,"вул. Юрія Коваленка, 7",07.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5007946,32.2125225,каштан - 5 од.,5,5,0,"вул. Юрія Коваленка, 7",07.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5007946,32.2125225,береза - 1 од.,1,1,0,"вул. Юрія Коваленка, 7",07.03.18
№ 35-вих від 26.02.18,"Кропивницький, вул. Ігіта Гаспаряна, 92/24",48.5258839,32.266087199999994,акація - 1 од.,1,0,1,"вул. Ігіта Гаспаряна, 92/24",26.02.18
№ 762/03-01-06 від 20.03.18,"Кропивницький, вул. Володі Дубініна, 9",48.4733059,32.3024684,акація - 1 од.,1,0,1,"вул. Володі Дубініна, 9",20.03.18
№ 768/03-01-06 від 20.03.18,"Кропивницький, вул. Генерала Жадова, 28, корп. 2",48.49057029999999,32.2013222,акація - 1 од.,1,1,0,"вул. Генерала Жадова, 28, корп. 2",20.03.18
№ 1178-В від 27.03.18,"Кропивницький, перехрестя вулиць Ростислава Черноморченка та Глинки",48.50793300000001,32.262317,акація - 4 од.,4,4,0,перехрестя вулиць Ростислава Черноморченка та Глинки,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, перехрестя вулиць Ростислава Черноморченка та Глинки",48.50793300000001,32.262317,клен - 1 од.,1,1,0,перехрестя вулиць Ростислава Черноморченка та Глинки,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.49220379999999,32.2579169,каштан - 6 од.,6,6,0,на розі вулиць Куропятникова-Яновського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.49220379999999,32.2579169,тополя - 1 од.,1,1,0,на розі вулиць Куропятникова-Яновського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.49220379999999,32.2579169,горіх - 1 од.,1,1,0,на розі вулиць Куропятникова-Яновського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, уздовж вул. Арсенія Тарковського",48.509909,32.272133000000004,дерева,267,267,0,уздовж вул. Арсенія Тарковського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, уздовж вул. Пашутинської",48.5087295,32.2685249,дерева,81,81,0,уздовж вул. Пашутинської,27.03.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.4954674,32.29179439999999,акація - 12 од.,12,12,0,"вул. Тульська, 1",13.04.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.4954674,32.29179439999999,тополя - 1 од.,1,1,0,"вул. Тульська, 1",13.04.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.4954674,32.29179439999999,абрикос - 1 од.,1,1,0,"вул. Тульська, 1",13.04.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.4954674,32.29179439999999,шовковиця - 1 од.,1,1,0,"вул. Тульська, 1",13.04.18
№ 85-вих від 02.05.18,"Кропивницький, вул. Велика Перспективна, 12",48.5160274,32.2721094,горіх - 1 од.,1,1,0,"вул. Велика Перспективна, 12",02.05.18
№ 1665-к від 18.05.18,"Кропивницький, вул. Архітектора Паученка, 53/39",48.5090845,32.2713444,верба плакуча - 1 од.,1,1,0,"вул. Архітектора Паученка, 53/39",18.05.18
№ 1665-к від 18.05.18,"Кропивницький, вул. Архітектора Паученка, 53/39",48.5090845,32.2713444,липа - 1 од.,1,1,0,"вул. Архітектора Паученка, 53/39",18.05.18
