tree_characteristics,number,was_cut,tree_adress,Latitude,Longitude,adress_description,date_UTF,organization_name,on_balance,tree_adress_shorten
Горобина,2,2,"Кропивницький, бульвар між вул. Волкова та вул.Пацаєва",48.50483670000001,32.2225568,вздовж вулиці,4.29.2018,"ГО ""Озеленення Кропивницького""",ні,бульвар між вул. Волкова та вул.Пацаєва
Клен гостролистий,4,4,"Кропивницький, бульвар між вул. Волкова та вул.Пацаєва",48.50483670000001,32.2225568,вздовж вулиці,4.29.2018,"ГО ""Озеленення Кропивницького""",ні,бульвар між вул. Волкова та вул.Пацаєва
Береза,4,4,"Кропивницький, бульвар між вул. Волкова та вул.Пацаєва",48.50483670000001,32.2225568,вздовж вулиці,4.29.2018,"ГО ""Озеленення Кропивницького""",ні,бульвар між вул. Волкова та вул.Пацаєва
Липа серцелиста,70,70,"Кропивницький, вул.Полтавська",48.521467,32.2907456,вздовж вулиці,28.04.2018,"КП ""Єлизавета""",ні,вул.Полтавська
Липа серцелиста,37,37,"Кропивницький, вул.Маланюка",48.5193219,32.2803449,вздовж вулиці,28.04.2018,"КП ""Єлизавета""",ні,вул.Маланюка
Липа серцелиста,27,27,"Кропивницький, вул.Соборна",48.50132429999999,32.251355,вздовж вулиці,28.04.2018,"КП ""Єлизавета""",ні,вул.Соборна
Липа серцелиста,30,30,"Кропивницький, набережна р.Інгул",47.8600751,32.2692587,,28.04.2018,"КП ""Єлизавета""",ні,набережна р.Інгул
Липа серцелиста,11,11,"Кропивницький, вул.Вокзальна",48.51177620000001,32.2474051,вздовж вулиці,28.04.2018,"КП ""Єлизавета""",ні,вул.Вокзальна
Туя,32,32,"Кропивницький, набережна р.Інгул",47.8600751,32.2692587,,21.04.2018,"КП ""Єлизавета""",ні,набережна р.Інгул
Липа серцелиста,7,7,"Кропивницький, вул.Шмідта",48.5284907,32.2866659,біля приватного сектора,28.04.2018,"КП ""Єлизавета""",ні,вул.Шмідта
Туя,10,10,"Кропивницький, бульвар Студентський",48.5159978,32.2759143,біля буд.коледжу,17.04.2018,Мед.коледж,ні,бульвар Студентський
Береза,10,10,"Кропивницький, площа Дружби народів",48.52016099999999,32.283302,біля буд.коледжу,20.04.2018,Будів.коледж,ні,площа Дружби народів
Верба біла,2,2,"Кропивницький, вул.Олефіренка 6",48.5192838,32.2583794,біля буд.коледжу,18.04.2018,Технікум механізації,ні,вул.Олефіренка 6
Шовковица плакуча форма,1,1,"Кропивницький, вул.Олефіренка 6",48.5192838,32.2583794,біля буд.коледжу,18.04.2018,Технікум механізації,ні,вул.Олефіренка 6
