identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemDiameter,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
3995-01,3995,2019-08-12,"""Начальник КП """"ЖЕО №1"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Василя Нікітіна; 23в,null,48.527272,32.270803,Верба,70-80,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3994-01,3994,2019-08-12,"""Начальник КП """"ЖЕО №2"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Арсенія Тарковського; 16; корп. 4,null,48.513709,32.275724,Акація,40-50,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3993-01,3993,2019-08-12,"""Т.в.о. начальника КП """"ЖЕО №3"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Академіка Корольова; 7,null,48.504540,32.234435,Черешня,30-40,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3993-01,3993,2019-08-12,"""Т.в.о. начальника КП """"ЖЕО №3"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Євгена Тельнова; 5,null,48.503479,32.231904,Граб,50-60,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3993-01,3993,2019-08-12,"""Т.в.о. начальника КП """"ЖЕО №3"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Євгена Тельнова; 3; корп. 3,null,48.503315,32.233454,Граб,40-50,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3993-01,3993,2019-08-12,"""Т.в.о. начальника КП """"ЖЕО №3"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Яновського; 96,null,48.498028,32.240727,Груша,30-40,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3998-01,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Волкова; 28; корп. 1,null,48.497988,32.222991,Абрикос,30-40,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3998-01,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Волкова; 6; корп. 4,null,48.511712,32.225042,Вишня,20-30,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3998-01,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Мозеса Гомберга; 67,null,48.515722,32.218176,Тополя,60-70,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3998-01,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Героїв України; 8,null,48.494584,32.218663,Клен,20-30,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3998-01,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Нижня Прирічна,на березі річки Сугоклія,null,null,Клен,20-30,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3998-01,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Дворцова; 7,null,48.513067,32.262825,Шовковиця,60-70,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3997-01,3997,2019-08-12,"""Луценко В.О.-начальник КП """"Благоустрій"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Андріївська,між №81 та №85,48.503091,32.242231,Тополя,60-70,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3997-01,3997,2019-08-12,"""Луценко В.О.-начальник КП """"Благоустрій"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Академіка Тамма,"""біля зупинки напроти заводу """"Радій""""""",48.497657,32.230942,Тополя,60-70,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3997-01,3997,2019-08-12,"""Луценко В.О.-начальник КП """"Благоустрій"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Героїв України,між вул. Волкова та вул. Пацаєва,48.495463,32.222684,Тополя,30-40,1,1,0,117,2019-09-02,Замовлення виконано підрядником
3997-01,3997,2019-08-12,"""Луценко В.О.-начальник КП """"Благоустрій"""" МРМК""",2180/03-01-06,2019-08-19,"""КОЛЕКТИВНЕ ПІДПРИЄМСТВО """"ЄЛІЗАВЕТА""""""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Арсенія Тарковського; 65/23,null,48.505723,32.268224,Клен,60-70,1,1,0,117,2019-09-02,Замовлення виконано підрядником
