act_number,tree_andress,tree_cut_requester,tree_characteristics,number,date,cutting_act
"№ 3608
 від 09.01.18","вул. Генерала Родимцева, 94 (за будинком)",КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 15-20 см,1,№ 328/03-01-06 від 16.02.18,
"№ 3609
 від 09.01.18","вул. Героїв України, 12, корп. 5 (позаду під'їзду № 3)",КП «ЖЕО № 4» Міської ради міста Кропивницького,тополя діам. 30-35 см,1,№ 328/03-01-06 від 16.02.18,
,"вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",,вишня діам. 20-25 см,5,№ 328/03-01-06 від 16.02.18,
,"вул. Героїв України, 12, корп. 5 (з боку під'їзду № 6)",,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,
,"вул. Пацаєва, 12, корп. 2",,акація діам. 65-70 см,1,№ 328/03-01-06 від 16.02.18,
"№ 3610
 від 09.01.18",на перехресті вулиць Верхньої Биковської та Великої Перспективної,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3611
 від 09.01.18","вул. Миколи Левитського (між будинками
 № 1-а та № 1/49)",КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 75-80 см,1,№ 933/03-01-06 від 06.04.18,
,просп. Винниченка (уздовж дороги між будинками № 32 та кафе «Старий круг»),,тополя діам. 65-70 см,1,№ 933/03-01-06 від 06.04.18,
"№ 3612
 від 09.01.18",вул. Михайлівська (біля обласного центру планування сім'ї та репродукції людини),КП «Благоустрій» Міської ради міста Кропивницького»,берест діам. 60-65 см,1,№ 345-в від 20.01.18,"№ 11, 2018"
"№ 3613
 від 09.01.18",вул. Петропавлівська (уздовж дороги біля будинку № 5),гр. Сирота О.М.,акація діам. 70-75 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
"№ 3614
 від 09.01.18","вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,12,,
,,,клен діам. 30-60 см,14,,
,,,верба плакуча діам. 50-60 см,3,,
,,,тополя пірамідальна діам. 60-70 см,3,,
