identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemDiameter,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
null,null,null,null,1895/03-01-06,2018-07-09,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Короленка,вздовж вулиці,null,null,Пеньок,18-26,11,11,0,66,2018-09,Замовлення виконано підрядником
null,null,null,null,1895/03-01-06,2018-07-09,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Гагаріна, 12",null,null,null,Пеньок,26-34,2,2,0,66,2018-09,Замовлення виконано підрядником
3998-01,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Волкова, 28, корп. 1",null,48.497988,32.222991,Абрикос,30-40,1,1,0,117,2019-09-00,Замовлення виконано підрядником
3998-02,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Волкова, 6, корп. 4",null,48.511712,32.225042,Вишня,20-30,1,1,0,117,2019-09-00,Замовлення виконано підрядником
3998-03,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Мозеса Гомберга, 67",null,48.515722,32.218176,Тополя,60-70,1,1,0,117,2019-09-00,Замовлення виконано підрядником
3998-04,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Героїв України, 8",null,48.494584,32.218663,Клен,20-30,1,1,0,117,2019-09-00,Замовлення виконано підрядником
3998-05,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Нижня Прирічна,на березі річки Сугоклія,null,null,Клен,20-30,1,1,0,117,2019-09-00,Замовлення виконано підрядником
3998-06,3998,2019-08-12,Т.в.о. начальника ГУ ЖКГ МРМК,2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Дворцова, 7",null,48.513067,32.262825,Шовковиця,60-70,1,1,0,117,2019-09-00,Замовлення виконано підрядником
3997-01,3997,2019-08-12,"Луценко В.О.-начальник КП ""Благоустрій"" МРМК",2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Андріївська,між №81 та №85,48.503091,32.242231,Тополя,60-70,1,1,0,117,2019-09-00,Замовлення виконано підрядником
3997-02,3997,2019-08-12,"Луценко В.О.-начальник КП ""Благоустрій"" МРМК",2180/03-01-06,2019-08-19,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Академіка Тамма,"біля зупинки напроти заводу ""Радій""",48.497657,32.230942,Тополя,60-70,1,1,0,117,2019-09-00,Замовлення виконано підрядником
